Date,Market_Type,Country,ISIN,Clean_Price,Yield_to_Maturity,Coupon_Rate,Maturity_Date,Currency
2022-09,Developing,India,IN0020200112,103.1,5.95,0.0522,15/06/2025,INR
2022-10,Developing,India,IN0020200112,103.45,5.9,0.0522,15/06/2025,INR
2022-11,Developing,India,IN0020200112,103.8,5.8,0.0522,15/06/2025,INR
2022-12,Developing,India,IN0020200112,104.1,5.7,0.0522,15/06/2025,INR
2020-01,Developed,United States,US91282CMZ13,101.05,1.8,0.03875,30/04/2030,USD
2020-02,Developed,United States,US91282CMZ13,100.9,1.85,0.03875,30/04/2030,USD
2020-03,Developed,United States,US91282CMZ13,102.4,1.2,0.03875,30/04/2030,USD
2020-04,Developed,United States,US91282CMZ13,103.1,1.05,0.03875,30/04/2030,USD
2020-05,Developed,United States,US91282CMZ13,103.45,0.95,0.03875,30/04/2030,USD
2020-06,Developed,United States,US91282CMZ13,103.8,0.9,0.03875,30/04/2030,USD
2020-07,Developed,United States,US91282CMZ13,104.1,0.85,0.03875,30/04/2030,USD
2020-08,Developed,United States,US91282CMZ13,104.45,0.8,0.03875,30/04/2030,USD
2020-09,Developed,United States,US91282CMZ13,104.7,0.78,0.03875,30/04/2030,USD
2020-10,Developed,United States,US91282CMZ13,104.55,0.8,0.03875,30/04/2030,USD
2020-11,Developed,United States,US91282CMZ13,104.85,0.75,0.03875,30/04/2030,USD
2020-12,Developed,United States,US91282CMZ13,105.2,0.7,0.03875,30/04/2030,USD
2021-01,Developed,United States,US91282CMZ13,105.35,0.68,0.03875,30/04/2030,USD
2021-02,Developed,United States,US91282CMZ13,105.1,0.72,0.03875,30/04/2030,USD
2021-03,Developed,United States,US91282CMZ13,104.6,0.85,0.03875,30/04/2030,USD
2021-04,Developed,United States,US91282CMZ13,104.85,0.82,0.03875,30/04/2030,USD
2021-05,Developed,United States,US91282CMZ13,105.2,0.75,0.03875,30/04/2030,USD
2021-06,Developed,United States,US91282CMZ13,105.6,0.7,0.03875,30/04/2030,USD
2021-07,Developed,United States,US91282CMZ13,105.95,0.65,0.03875,30/04/2030,USD
2021-08,Developed,United States,US91282CMZ13,105.8,0.68,0.03875,30/04/2030,USD
2021-09,Developed,United States,US91282CMZ13,106.1,0.62,0.03875,30/04/2030,USD
2021-10,Developed,United States,US91282CMZ13,106.35,0.6,0.03875,30/04/2030,USD
2021-11,Developed,United States,US91282CMZ13,106.1,0.63,0.03875,30/04/2030,USD
2021-12,Developed,United States,US91282CMZ13,106.5,0.58,0.03875,30/04/2030,USD
2022-01,Developed,United States,US91282CMZ13,106.3,0.6,0.03875,30/04/2030,USD
2022-02,Developed,United States,US91282CMZ13,105.9,0.75,0.03875,30/04/2030,USD
2022-03,Developed,United States,US91282CMZ13,104.8,1.2,0.03875,30/04/2030,USD
2022-04,Developed,United States,US91282CMZ13,105.2,1.1,0.03875,30/04/2030,USD
2022-05,Developed,United States,US91282CMZ13,105.7,1,0.03875,30/04/2030,USD
2022-06,Developed,United States,US91282CMZ13,106.1,0.95,0.03875,30/04/2030,USD
2022-07,Developed,United States,US91282CMZ13,106.45,0.9,0.03875,30/04/2030,USD
2022-08,Developed,United States,US91282CMZ13,106.2,0.92,0.03875,30/04/2030,USD
2022-09,Developed,United States,US91282CMZ13,105.6,1.05,0.03875,30/04/2030,USD
2022-10,Developed,United States,US91282CMZ13,105.95,1,0.03875,30/04/2030,USD
2022-11,Developed,United States,US91282CMZ13,106.3,0.95,0.03875,30/04/2030,USD
2022-12,Developed,United States,US91282CMZ13,106.7,0.9,0.03875,30/04/2030,USD
